Title;Authors;IMSDb Page;IMSDb Script Page
Bamboozled;Spike Lee;/Movie Scripts/Bamboozled Script.html;/scripts/Bamboozled.html
Barry Lyndon;Stanley Kubrick;/Movie Scripts/Barry Lyndon Script.html;/scripts/Barry-Lyndon.html
Barton Fink;Joel Coen,Ethan Coen;/Movie Scripts/Barton Fink Script.html;/scripts/Barton-Fink.html
Basic;James Vanderbilt;/Movie Scripts/Basic Script.html;/scripts/Basic.html
Basic Instinct;Joe Eszterhas;/Movie Scripts/Basic Instinct Script.html;/scripts/Basic-Instinct.html
Basquiat;Julian Schnabel;/Movie Scripts/Basquiat Script.html;/scripts/Basquiat.html
Batman;Sam Hamm,Warren Skaaren;/Movie Scripts/Batman Script.html;/scripts/Batman.html
Batman 2;Sam Hamm;/Movie Scripts/Batman 2 Script.html;/scripts/Batman-2.html
Battle of Algiers, The;Gillo Pontecorvo,Franco Solinas;/Movie Scripts/Battle of Algiers, The Script.html;/scripts/Battle-of-Algiers,-The.html
Battle of Shaker Heights, The;Erica Beeney;/Movie Scripts/Battle of Shaker Heights, The Script.html;/scripts/Battle-of-Shaker-Heights,-The.html
Battle: Los Angeles;Chris Bertolini;/Movie Scripts/Battle: Los Angeles Script.html;/scripts/Battle-Los-Angeles.html
Beach, The;Alex Garland,John Hodge;/Movie Scripts/Beach, The Script.html;/scripts/Beach,-The.html
Bean;Richard Curtist,Robin Briscoll;/Movie Scripts/Bean Script.html;/scripts/Bean.html
Beasts of No Nation;Cary Joji Fukunaga;/Movie Scripts/Beasts of No Nation Script.html;/scripts/Beasts-of-No-Nation.html
Beasts of the Southern Wild;Lucy Alibar,Benh Zeitlin;/Movie Scripts/Beasts of the Southern Wild Script.html;/scripts/Beasts-of-the-Southern-Wild.html
Beauty and the Beast;Stephen Chbosky,Evan Spiliotopoulos;/Movie Scripts/Beauty and the Beast Script.html;/scripts/Beauty-and-the-Beast.html
Beavis and Butt-head Do America;Mike Judge,Joe Stillman;/Movie Scripts/Beavis and Butt-head Do America Script.html;/scripts/Beavis-and-Butt-head-Do-America.html
Beginners;Mike Mills;/Movie Scripts/Beginners Script.html;/scripts/Beginners.html
Being Human;Bill Forsyth;/Movie Scripts/Being Human Script.html;/scripts/Being-Human.html
Being John Malkovich;Charlie Kaufman;/Movie Scripts/Being John Malkovich Script.html;/scripts/Being-John-Malkovich.html
Being There;Jerry Kosinski,Robert C. Jones;/Movie Scripts/Being There Script.html;/scripts/Being-There.html
Believer, The;Henry Bean,Mark Jacobson;/Movie Scripts/Believer, The Script.html;/scripts/Believer,-The.html
Belle;Misan Sagay;/Movie Scripts/Belle Script.html;/scripts/Belle.html
Beloved;Richard LaGravenese,Toni Morrisson;/Movie Scripts/Beloved Script.html;/scripts/Beloved.html
Benny & Joon;Barry Berman,Lesley McNeil;/Movie Scripts/Benny & Joon Script.html;/scripts/Benny-&-Joon.html
Best Exotic Marigold Hotel, The;Ol Parker;/Movie Scripts/Best Exotic Marigold Hotel, The Script.html;/scripts/Best-Exotic-Marigold-Hotel,-The.html
Big;Gary Ross,Anne Spielberg;/Movie Scripts/Big Script.html;/scripts/Big.html
Big Blue, The;Luc Besson,Robert Garland;/Movie Scripts/Big Blue, The Script.html;/scripts/Big-Blue,-The.html
Big Eyes;Scott Alexander,Larry Karaszewski;/Movie Scripts/Big Eyes Script.html;/scripts/Big-Eyes.html
Big Fish;Daniel Wallace,John August;/Movie Scripts/Big Fish Script.html;/scripts/Big-Fish.html
Big Lebowski, The;Joel Coen,Ethan Coen;/Movie Scripts/Big Lebowski, The Script.html;/scripts/Big-Lebowski,-The.html
Big Sick, The;Emily V. Gordon,Kumail Nanjiani;/Movie Scripts/Big Sick, The Script.html;/scripts/Big-Sick,-The.html
Big White, The;Collin Friesen;/Movie Scripts/Big White, The Script.html;/scripts/Big-White,-The.html
Birdman;Alejandro G. Inarritu,Nicolas Giacobone,Alexander Dinelaris Jr.,Armando Bo;/Movie Scripts/Birdman Script.html;/scripts/Birdman.html
Birds, The;Daphne Du Maurier,Evan Hunter;/Movie Scripts/Birds, The Script.html;/scripts/Birds,-The.html
Birthday Girl;Tom Butterworth,Jez Butterworth;/Movie Scripts/Birthday Girl Script.html;/scripts/Birthday-Girl.html
Black Dahlia, The;Josh Friedman,James Ellroy;/Movie Scripts/Black Dahlia, The Script.html;/scripts/Black-Dahlia,-The.html
Black Panther;Ryan Coogler,Joe Robert Cole;/Movie Scripts/Black Panther Script.html;/scripts/Black-Panther.html
Black Rain;Craig Bolotin,Warren Lewis;/Movie Scripts/Black Rain Script.html;/scripts/Black-Rain.html
Black Snake Moan;Craig Brewer;/Movie Scripts/Black Snake Moan Script.html;/scripts/Black-Snake-Moan.html
